NumberOfSections,EntryPoint,ImageBase,FileAlignment,SizeOfImage,DllCharacteristics,SectionsMeanEntropy,Hazard,filename
5.0,22635.0,268435456.0,4096.0,49152.0,0.0,4.291324279383432,1,19f5cc020fc877fc342ad76e3714601ad7d6978f30daf28a27556c983ae5b01d
6.0,49952.0,5368709120.0,512.0,364544.0,49504.0,5.345726869558276,0,.py to .exe
5.0,14767.0,4194304.0,512.0,524288.0,34112.0,4.559730731355868,0,Anaconda3-2024.06-1-Windows-x86_64.exe
6.0,4712.0,5368709120.0,512.0,667648.0,33120.0,4.313330911185219,0,Despotism3k.exe
5.0,43868.0,4194304.0,512.0,167518208.0,33088.0,5.827386483259739,0,GitHubDesktopSetup-x64.exe
6.0,469424.0,4194304.0,512.0,11575296.0,49472.0,4.346624786478609,0,MediaCreationTool_22H2.exe
5.0,14767.0,4194304.0,512.0,520192.0,34112.0,4.560179214323204,0,Miniconda3-latest-Windows-x86_64.exe
5.0,1291910.0,4194304.0,512.0,5324800.0,33088.0,6.3275931110132735,0,Overwatch-Setup.exe
5.0,13455.0,4194304.0,512.0,2097152.0,34112.0,4.034800482054607,0,pycharm-community-2024.2.1.exe
6.0,188546.0,4194304.0,512.0,561152.0,33088.0,4.718253340173562,0,python-3.12.7-amd64.exe
6.0,188546.0,4194304.0,512.0,561152.0,33088.0,4.717541766822516,0,python-3.13.0-amd64.exe
8.0,71708.0,4194304.0,512.0,307200.0,33088.0,3.2204128268697194,0,revosetup.exe
3.0,20239538.0,4194304.0,512.0,20447232.0,34112.0,3.717821506336154,0,Terraria.exe
6.0,197349.0,4194304.0,512.0,495616.0,33088.0,4.586395075263652,0,VC_redist.x64.exe
6.0,7024.0,4194304.0,512.0,110788608.0,49472.0,5.307761843456976,0,VirtualBox-7.1.2-164945-Win.exe
6.0,7024.0,4194304.0,512.0,111058944.0,49472.0,5.30777117627593,0,VirtualBox-7.1.4-165100-Win.exe
10.0,745196.0,4194304.0,512.0,884736.0,33088.0,3.341711333043473,0,VSCodeUserSetup-x64-1.94.2.exe
8,18211536,5368709120,512,31191040,49504,6.081268128257356,0.0,qbittorrent.exe
6.0,9835248.0,5368709120.0,512.0,29761536.0,33120.0,5.8433829108901625,0.0,EADesktop.exe
5,12624,4194304,512,233472,32768,4.1550733883079705,1.0,4f1ff9bdef6d0b2ece7775e3adae50ac75daeff126faefe81810830d485f934c.exe
4,48550,4194304,4096,753664,0,6.401492814806399,1.0,15c0f4e0bb74893b20326f871aa29ac9bf7f79ca437416e2d45f679722517d8d.exe
2,1953113,4194304,512,2011136,0,3.9995759077610344,1.0,570eab9ce89db496a22196746cdcc68d5924abed65655bd4042b14306eadd98f.exe
5,22392,4194304,4096,2052096,0,5.5066161451429325,1.0,abce729b892c9784dd9e9a89999a4bc64da9398b4fa46b0efcc60dd91a4eab69.exe
6,401405,4194304,512,2576384,0,1.1936379900063694,1.0,6cfe33ea14a4758043dd95ef9aed19ca6940d5245cee809f1c4b35b9fe78c1a0
3,49360,268435456,512,57344,0,3.8070885942025794,1.0,ccfb25a11ef2d61c78bbefcb88accd38cf7c7c82e225f6ead0119ccbc0ff1aeb
10,49153,4194304,512,61440,0,2.537364797471858,1.0,b7ffc2249eb34ef67d6931f1d5715dd4655ab7fa3b073272afbc16585608f896
2,14124,1048576,64,14592,0,2.6671327304862538,1.0,99e976a7811253e815db64e21163e6ca7be31cdf72e4fb0f8ee92ffa51c0e604
3,185376,268435456,512,196608,0,3.6120247349643613,1.0,466bb157f72c7f5f559a0388d12b1de935ec5078fc4ad1994f961e20eb50bed8
3,49808,4194304,512,57344,0,3.081252237050116,1.0,954a9a260f9f8e7c379e8bc612a7d87d92358eeba8b0ee4d0aa56e1ef9dcaefa
3,5024,4194304,4096,507904,0,3.0918797655497503,1.0,6bc32a390752c8da585a9985f9d586f9bfba15cc42ac628701bff4005add1158
4,5692,4194304,4096,20480,0,1.6887990429721915,1.0,3b6b94e3cfde95e8bfa8d3f04503489fce38dd3c4547834efc74e261543cb1ec
3,25692,16777216,512,106496,33792,6.10628067458696,1.0,a887fc2c6e4cae38303a1e9f253e3df407f8c6e5193ddadda6ba8d9afc216734
8,94408,4194304,512,180224,0,3.3111938898530355,1.0,2aa04981d8ef2078ffc1ae9c1c1f3a0c1a5dcab9c1739d98fabe5ac00fb6f856
7,423404,4194304,512,626688,0,2.464175252227784,1.0,c0212953cbe05ac00957fea6eb11b81955f3384c04313cbf496acacd15644392
2,340,4194304,512,360448,0,3.963098202072067,1.0,6fb03daf6b0f7efde353010f7255c3e84d6140e3a03c904ac0dab9a12a254417
5,4480,4194304,512,163840,0,3.5329834943141982,1.0,3139d054e55a6bd2ecfe76f8c027c029e0bc7da10119653474bb96159aae8a2a
2,17061,4194304,512,20480,0,3.681279929948302,1.0,33ec6d3a48c20c7a409c02bf203483ab3310c9050d02535a90407dff95072541
5,4096,4194304,512,139264,0,5.586816081838877,1.0,68afce465533872f216737b81bbd8256554b995f3fa2c04383bd8603fa6c995c
8,315508,4194304,512,405504,0,3.3303421957285595,1.0,3940df71469a1d73f9fdaff09881995ad8d7b8f840c14168c00ce98f632718b7
3,47568,268435456,512,53248,0,4.85999895073078,1.0,01b622552107b78010caacb405080153696f47cbd5545df4f3b19fa50e7d64e8
4,10766,4194304,4096,53248,0,3.6022886198383266,1.0,14514563ff2d7f916f48bfcffa996b7b5f5b6fd930d3584f8f57733cb1cf9c5b
3,5824,4194304,4096,98304,0,2.4970182975255732,1.0,ad4d936868a828df4544471be94056c64981131e6c0ea4a1adad25ed0f0de041
3,124576,4194304,512,131072,0,3.639764691371731,1.0,b1b33a1aa88b3fd873a277e4e6df88bb797b578aef33741ef1e13ca40bd4520c
8,77844,4194304,512,569344,0,3.5360420832758277,1.0,b9da8ec8b0493ea7bd3c69f7060d3224632c38e6e7a0d240409d9a1a3a3f22b7
8,1110016,268435456,512,1122304,0,5.84946347102047,1.0,94b1ce2b188794bd65ee7a49662429e81ad10ac1588494069265e831138c8216
5,4548,4194304,512,237568,0,4.246211907006629,1.0,feb2546ed1219c8ec1783292d2777145fdae39f26a3333a2b41688daaea4e8bd
3,2034671,4194304,512,2039808,0,3.8868599064466665,1.0,f4dde880a3004edbfd850f3020753ae996cce392fff44f573cd86926134bf7be
3,1216944,4194304,512,1224704,0,3.685165747214672,1.0,33de28ce42ab40a86a99232bd316fd817aa7f9399ebc50ec132d93bb1e5668b5
5,99600,4194304,512,237568,33088,5.019467509566635,1.0,0c959063e227ad13e8b373cb073d4edb622c94e834634d010b4565b9987815a9
8,27456,4194304,512,57344,0,3.0474796992044033,1.0,f8492ab27ee166ea458afece2b9a464e1fb4b26b86728314247189bc9278fc50
3,118718,4194304,512,139264,1024,2.8771321316241103,1.0,9b61103439b8a1658e33fb5703e4aadf6efdfa53a324dd37c2154a483860cf80
3,81568,4194304,512,90112,0,3.6753867780275766,1.0,8702eaeb74d96936fb477e35a970a7f4638d5d72e75999a905f7309302a6905a
5,4096,4194304,512,675840,0,6.299512787977994,1.0,b9ad6be9d3eb857b6dbcae6371311abc111f0a4ee6811376f8e6004e143f12e5
8,23532,4194304,512,61440,0,3.288353438488558,1.0,c73e85e0b2de80fd187879b8704f46e976aa1e61507b8a469bdf826d2b36c09d
5,28216,4194304,512,36864,0,2.656059760443877,1.0,b5c6e12450f28cfa8c61139698813a9faad17901997e2bf94de670c12dde0d50
2,80421,4194304,512,139264,0,3.9949707667449905,1.0,ad9c74d0139c57324649bcf1c7639888fb8949265b1e0c11cc06fef2569394a1
10,61747,4194304,512,61952,0,1.7964121608130497,1.0,c017a44bc71dadaeff743c0f03fec1dd9e31fb9920aed631487eeed78dd0bef6
5,1949697,4194304,512,1961984,0,4.461779970925538,1.0,d0d8eb98e16885b4a768333a44a50865c6571138244897b9f5ae31678fe52662
3,11140,4194304,512,139264,0,5.555002940895148,1.0,962f2b9c472654a58541c2da0ec0aa0db33b49e2c595230f2dbfb193901144ef
8,41356,4194304,512,380928,0,2.9758967328952686,1.0,8d67354e84e64202526c3d0663190bba4313836089bc3f705abe2958a30509d8
3,52304,4194304,512,57344,0,3.301120494703886,1.0,f445e2cca1a23be908c0b3e424125d243570c4598bb63134841d616e4af22bd7
1,4976,4194304,512,8192,0,5.363019288761321,1.0,94db77a0652bf11758f15b83ac72ad759a751621becbf7a127f0f513e73d7a81
4,7631,4194304,4096,36864,0,4.256234943988034,1.0,507189084a97e46e9d536e167c63d8544787fef9549685279f3474a307073958
5,4236,4194304,512,36864,0,3.258011106650419,1.0,b6a1bc565f3ee829d5672221e8c0298623d1ef90220c5f406e7731510668fbf8
5,24475,4194304,4096,2076672,0,6.090749951407954,1.0,b9c78327eb91b44856f797f16ab44bc1ee7d5e9f44b88c4232abe820ae51c281
6,4378,6291456,512,1273856,64,5.44522376805084,1.0,aa8ee7712fc6ec13fd7255baf4dc3a4d27385a95951e47ab27f862066210de7e
8,12564,305135616,512,192512,0,2.4851331269007986,1.0,ba36fe915af9ccbcf075ab30311a85c1f485da5b41b7cd05548551fdc9a59830
5,4096,4194304,512,368640,0,6.353722856448106,1.0,992472ff19edb532871e45221d074446748a7a7ec41c4f1b0c13680f7b5be28f
8,306036,4194304,512,389120,0,3.369077542273234,1.0,ae9844c6ae477fe4824e78d1d3b020e90055743cd44d6fa37fecdad0dff47091
